sample,Phylum,SeqAbundance,PercentPhylum,trophicstate,filter,lakenames,limnion
BAKE1,Alphaproteobacteria,385,3.74,Productive,Free,Baker,Top
BAKE1,Betaproteobacteria,2116,20.53,Productive,Free,Baker,Top
BAKE1,Deltaproteobacteria,345,3.35,Productive,Free,Baker,Top
BAKE1,Epsilonproteobacteria,0,0,Productive,Free,Baker,Top
BAKE1,Gammaproteobacteria,82,0.8,Productive,Free,Baker,Top
BAKE1,SPOTSOCT00m83,0,0,Productive,Free,Baker,Top
BAKE1,TA18,0,0,Productive,Free,Baker,Top
BAKE13um,Alphaproteobacteria,612,5.94,Productive,Particle,Baker,Top
BAKE13um,Betaproteobacteria,264,2.56,Productive,Particle,Baker,Top
BAKE13um,Deltaproteobacteria,265,2.57,Productive,Particle,Baker,Top
BAKE13um,Epsilonproteobacteria,0,0,Productive,Particle,Baker,Top
BAKE13um,Gammaproteobacteria,21,0.2,Productive,Particle,Baker,Top
BAKE13um,SPOTSOCT00m83,0,0,Productive,Particle,Baker,Top
BAKE13um,TA18,0,0,Productive,Particle,Baker,Top
BAKE2,Alphaproteobacteria,360,3.49,Productive,Free,Baker,Top
BAKE2,Betaproteobacteria,2141,20.78,Productive,Free,Baker,Top
BAKE2,Deltaproteobacteria,234,2.27,Productive,Free,Baker,Top
BAKE2,Epsilonproteobacteria,0,0,Productive,Free,Baker,Top
BAKE2,Gammaproteobacteria,61,0.59,Productive,Free,Baker,Top
BAKE2,SPOTSOCT00m83,0,0,Productive,Free,Baker,Top
BAKE2,TA18,0,0,Productive,Free,Baker,Top
BAKE23um,Alphaproteobacteria,456,4.42,Productive,Particle,Baker,Top
BAKE23um,Betaproteobacteria,270,2.62,Productive,Particle,Baker,Top
BAKE23um,Deltaproteobacteria,250,2.42,Productive,Particle,Baker,Top
BAKE23um,Epsilonproteobacteria,0,0,Productive,Particle,Baker,Top
BAKE23um,Gammaproteobacteria,27,0.26,Productive,Particle,Baker,Top
BAKE23um,SPOTSOCT00m83,0,0,Productive,Particle,Baker,Top
BAKE23um,TA18,0,0,Productive,Particle,Baker,Top
BAKH1,Alphaproteobacteria,108,1.05,Productive,Free,Baker,Bottom
BAKH1,Betaproteobacteria,1596,15.49,Productive,Free,Baker,Bottom
BAKH1,Deltaproteobacteria,470,4.56,Productive,Free,Baker,Bottom
BAKH1,Epsilonproteobacteria,39,0.38,Productive,Free,Baker,Bottom
BAKH1,Gammaproteobacteria,736,7.14,Productive,Free,Baker,Bottom
BAKH1,SPOTSOCT00m83,0,0,Productive,Free,Baker,Bottom
BAKH1,TA18,0,0,Productive,Free,Baker,Bottom
BAKH13um,Alphaproteobacteria,79,0.77,Productive,Particle,Baker,Bottom
BAKH13um,Betaproteobacteria,1239,12.02,Productive,Particle,Baker,Bottom
BAKH13um,Deltaproteobacteria,840,8.15,Productive,Particle,Baker,Bottom
BAKH13um,Epsilonproteobacteria,13,0.13,Productive,Particle,Baker,Bottom
BAKH13um,Gammaproteobacteria,312,3.03,Productive,Particle,Baker,Bottom
BAKH13um,SPOTSOCT00m83,0,0,Productive,Particle,Baker,Bottom
BAKH13um,TA18,0,0,Productive,Particle,Baker,Bottom
BAKH2,Alphaproteobacteria,101,0.98,Productive,Free,Baker,Bottom
BAKH2,Betaproteobacteria,1641,15.93,Productive,Free,Baker,Bottom
BAKH2,Deltaproteobacteria,452,4.39,Productive,Free,Baker,Bottom
BAKH2,Epsilonproteobacteria,44,0.43,Productive,Free,Baker,Bottom
BAKH2,Gammaproteobacteria,493,4.79,Productive,Free,Baker,Bottom
BAKH2,SPOTSOCT00m83,0,0,Productive,Free,Baker,Bottom
BAKH2,TA18,0,0,Productive,Free,Baker,Bottom
BAKH23um,Alphaproteobacteria,31,0.3,Productive,Particle,Baker,Bottom
BAKH23um,Betaproteobacteria,1326,12.86,Productive,Particle,Baker,Bottom
BAKH23um,Deltaproteobacteria,761,7.38,Productive,Particle,Baker,Bottom
BAKH23um,Epsilonproteobacteria,0,0,Productive,Particle,Baker,Bottom
BAKH23um,Gammaproteobacteria,247,2.4,Productive,Particle,Baker,Bottom
BAKH23um,SPOTSOCT00m83,0,0,Productive,Particle,Baker,Bottom
BAKH23um,TA18,0,0,Productive,Particle,Baker,Bottom
BASE1,Alphaproteobacteria,468,4.54,Productive,Free,Baseline,Top
BASE1,Betaproteobacteria,1661,16.13,Productive,Free,Baseline,Top
BASE1,Deltaproteobacteria,357,3.47,Productive,Free,Baseline,Top
BASE1,Epsilonproteobacteria,0,0,Productive,Free,Baseline,Top
BASE1,Gammaproteobacteria,219,2.13,Productive,Free,Baseline,Top
BASE1,SPOTSOCT00m83,6,0.06,Productive,Free,Baseline,Top
BASE1,TA18,25,0.24,Productive,Free,Baseline,Top
BASE13um,Alphaproteobacteria,253,2.46,Productive,Particle,Baseline,Top
BASE13um,Betaproteobacteria,372,3.61,Productive,Particle,Baseline,Top
BASE13um,Deltaproteobacteria,493,4.78,Productive,Particle,Baseline,Top
BASE13um,Epsilonproteobacteria,0,0,Productive,Particle,Baseline,Top
BASE13um,Gammaproteobacteria,181,1.76,Productive,Particle,Baseline,Top
BASE13um,SPOTSOCT00m83,9,0.09,Productive,Particle,Baseline,Top
BASE13um,TA18,41,0.4,Productive,Particle,Baseline,Top
BASE2,Alphaproteobacteria,450,4.37,Productive,Free,Baseline,Top
BASE2,Betaproteobacteria,1637,15.88,Productive,Free,Baseline,Top
BASE2,Deltaproteobacteria,351,3.41,Productive,Free,Baseline,Top
BASE2,Epsilonproteobacteria,0,0,Productive,Free,Baseline,Top
BASE2,Gammaproteobacteria,214,2.08,Productive,Free,Baseline,Top
BASE2,SPOTSOCT00m83,10,0.1,Productive,Free,Baseline,Top
BASE2,TA18,25,0.24,Productive,Free,Baseline,Top
BASH1,Alphaproteobacteria,52,0.5,Productive,Free,Baseline,Bottom
BASH1,Betaproteobacteria,1014,9.84,Productive,Free,Baseline,Bottom
BASH1,Deltaproteobacteria,452,4.39,Productive,Free,Baseline,Bottom
BASH1,Epsilonproteobacteria,51,0.5,Productive,Free,Baseline,Bottom
BASH1,Gammaproteobacteria,133,1.29,Productive,Free,Baseline,Bottom
BASH1,SPOTSOCT00m83,0,0,Productive,Free,Baseline,Bottom
BASH1,TA18,5,0.05,Productive,Free,Baseline,Bottom
BASH13um,Alphaproteobacteria,70,0.68,Productive,Particle,Baseline,Bottom
BASH13um,Betaproteobacteria,507,4.92,Productive,Particle,Baseline,Bottom
BASH13um,Deltaproteobacteria,738,7.16,Productive,Particle,Baseline,Bottom
